ADD_NUM,LF_NAME,ADDRESS,POSTAL_CD,CITY,X,Y,LONGITUDE,LATITUDE,FAC_NAM,STE_FLR_UN,PERFRMANCE,EXHBVISART,SCRN_BASSE,LIBRARY,MULTIPURP,HERITAGE,OWNERSHIP,OBJECTID
1450,Dundas St W,1450 Dundas St W,M6J 1Y6,Toronto,310389.926,4834208.724,-79.4305122069,43.6498075659,Jessica Bradley Art Projects,,0,1,0,0,0,0,Owned by others,346
1150,Queen St W,1150 Queen St W,M6J 1J3,Toronto,310865.244,4833484.424,-79.424628298,43.6432844503,"The Drake Hotel (Underground, Public Spaces)",,1,1,0,0,0,0,Owned by others,364
4100,Chesswood Dr,4100 Chesswood Dr,M3J 2B9,Toronto,306565.284,4846272.288,-79.4778864949,43.7584136631,Club Viva Dance,Unit 201,1,0,0,0,0,0,Owned by others,98
399,The West Mall,399 The West Mall,M9C 2Y2,Toronto,299503.625,4833538.964,-79.5654560752,43.6437806,Etobicoke Civic Centre,,1,1,0,0,1,1,City Owned,34
23,Buckingham St,23 Buckingham St,M8Y 2W2,Toronto,305131.371,4830786.143,-79.4957000429,43.6190192369,New Toronto Studios,,0,0,1,0,0,0,Owned by others,68
1748,St Clair Ave W,1748 St Clair Ave W,M6N 1J3,Toronto,307955.614,4836933.372,-79.4606720149,43.6743468728,St. Clair/Silverthorn Branch (TPL),,1,0,0,1,0,0,City operated,323
27,Front St E,27 Front St E,M5E 1B4,Toronto,314850.871,4833948.016,-79.3752174619,43.647413879,"St Lawrence Centre for the Arts (Bluma Appel Theatre, Jane Mallett Theatre)",,1,0,0,0,1,0,City owned,1007
120,Old Colony Rd,120 Old Colony Rd,M2L 2K2,Toronto,314913.931,4846448.934,-79.3742016974,43.7599370768,Temple Emanu-El,,0,0,0,0,1,0,Owned by others,827
259,Richmond St W,259 Richmond St W,M5V 3M6,Toronto,313579.059,4834110.374,-79.3909801789,43.6488916882,Scotiabank Theatre,,0,0,1,0,0,1,Owned by others,644
212,King St W,212 King St W,M5H 1K5,Toronto,313945.764,4833977.167,-79.3864367095,43.6476881507,The Elephant & Castle,,1,0,0,0,0,1,Owned by others,594
1775,Weston Rd,1775 Weston Rd,M9N 3P8,Toronto,303746.982,4839717.979,-79.51287144,43.6994166431,1775 Weston Road (TCHC),,0,0,0,0,1,0,City Operated,144
403,Roncesvalles Ave,403 Roncesvalles Ave,M6R 2N1,Toronto,308766.898,4834338.762,-79.4506309197,43.6509878055,Gate 403 Pub and Piano Bar,,1,0,0,0,0,0,Owned by others,264
3049,Dundas St W,3049 Dundas St W,M6P 1Z5,Toronto,307106.63,4835928.123,-79.4712049961,43.6653011985,West Toronto Baptist Church,,1,0,0,0,1,0,Owned by others,221
100,Pine St,100 Pine St,M9N 2Y9,Toronto,304024.852,4840207.646,-79.5094250265,43.7038248994,Weston Collegiate Institute,,1,0,0,0,1,0,Owned by others,138
2867,Dundas St W,2867 Dundas St W,M6P 1Y9,Toronto,307591.475,4835915.822,-79.4651932944,43.665188785,The Hole in the Wall,A,1,0,0,0,0,0,Owned by others,177
115,Ionview Rd,115 Ionview Rd,M1K 3A1,Toronto,322985.525,4844205.716,-79.2740351216,43.7395918752,Iondale Heights United Church,,0,0,0,0,1,0,Owned by others,1314
120,First Ave,120 First Ave,M4M 1X1,Toronto,317061.964,4836003.207,-79.3477626347,43.6658802198,St. Anne Parish,,1,0,0,0,1,0,Owned by others,1195
45,Hallcrown Pl,45 Hallcrown Pl,M2J 4Y4,Toronto,319135.442,4847585.491,-79.3217442416,43.7700982423,Armenian Community Centre of Toronto,,1,0,0,0,0,0,Owned by others,1251
157,King St E,157 King St E,M5C 1G9,Toronto,315097.018,4834258.206,-79.3721604127,43.650202665,St. Lawrence Hall (Opera Atelier),4th Floor,1,0,0,0,0,1,City Owned,1029
585,Dundas St E,585 Dundas St E,M5A 2B7,Toronto,315919.288,4835358.466,-79.361941522,43.660085913,ArtHeart Community Art Center,,1,0,0,0,0,0,Owned by others,1082
1541A,Bayview Ave,1541A Bayview Ave,M4G 3B5,Toronto,314885.387,4840356.126,-79.3746705068,43.7050939813,State of the Art Gallery,,0,1,0,0,0,0,Owned by others,867
5110,Yonge St,5110 Yonge St,,Toronto,311797.841,4847351.149,-79.4128896712,43.7680942174,North York Memorial Hall,,1,0,0,0,1,0,City Owned,795
16,Thorncliffe Park Dr,16 Thorncliffe Park Dr,M4H 1H4,Toronto,317082.501,4840245.857,-79.3474112894,43.7040689331,Thorncliffe Park United Church,,1,0,0,0,1,0,Owned by others,854
79,St George St,79 St George St,M5S 2E5,Toronto,313040.601,4835707.156,-79.3976298362,43.6632708935,Helen Gardiner Phelan Playhouse,A,1,0,0,0,0,0,Owned by others,690
129,Tecumseth St,129 Tecumseth St,M6J 2H2,Toronto,312392.484,4833740.289,-79.405694638,43.6455741512,Birch Libralato,,0,1,0,0,0,0,Owned by others,488
1197,Dundas St W,1197 Dundas St W,M6J 1X3,Toronto,311048.314,4834133.417,-79.422352014,43.6491247763,The Garrison,,1,0,1,0,0,0,Owned by others,416
477,Manning Ave,477 Manning Ave,M6G 2V8,Toronto,311738.304,4835240.701,-79.4137845272,43.6590848804,The Church of St. Mary Magdalene,,1,0,0,0,1,1,Owned by others,425
2,Station Rd,2 Station Rd,M8V 2P9,Toronto,305294.014,4830116.887,-79.4936853466,43.6129950131,Wesley Mimico United Church,,1,0,0,0,0,0,Owned by others,85
430,Burnhamthorpe Rd,430 Burnhamthorpe Rd,M9B 2B1,Toronto,299997.385,4833800.666,-79.5593382617,43.6461396036,Eatonville Branch (TPL),,1,0,0,1,1,0,City Operated,52
201,Caribou Rd,201 Caribou Rd,M5N 2B5,Toronto,310555.618,4841743.175,-79.4283787056,43.7176255349,Church of St. Philip The Apostle,,1,0,0,0,0,0,Owned by others,287
3079,Danforth Ave,3079 Danforth Ave,M1L 1A8,Toronto,321924.799,4838825.208,-79.2873753816,43.6911861169,AccessPoint on Danforth (Access Alliance),,0,0,0,0,1,0,Owned by others,1273
4,King St W,4 King St W,M5H 1B6,Toronto,314591.924,4834153.67,-79.3784234515,43.6492684924,Galerie Christin,,0,1,0,0,0,1,Owned by others,1037
285,Rushton Rd,285 Rushton Rd,M6C 2X6,Toronto,310616.362,4837741.294,-79.4276665954,43.6816033513,Fran Hill Gallery,,1,0,0,0,1,0,Owned by others,726
899,Bloor St W,899 Bloor St W,M6H 1L2,Toronto,310737.045,4835518.882,-79.426194711,43.6615978587,Chemagne Dance Studio,,1,0,0,0,0,0,Owned by others,395
36,Loney Ave,36 Loney Ave,M3L 1E9,Toronto,303447.425,4842293.066,-79.5165952861,43.7225960977,Beverly Hills United Church,,1,0,0,0,0,0,Owned by others,92
110,Lombard St,110 Lombard St,M5C 1M3,Toronto,315001.056,4834512.301,-79.3733452164,43.6524911761,Gilda's Club Greater Toronto,,0,0,0,0,1,1,Owned by others,1042
60,Simcoe St,60 Simcoe St,M5J 2H5,Toronto,313944.537,4833868.19,-79.3864537867,43.6467072718,Roy Thomson Hall,,1,0,0,0,0,1,Owned by others,668
1485,Albion Rd,1485 Albion Rd,M9V 1B2,Toronto,298244.482,4844151.185,-79.5811936912,43.7392934549,Albion Pool & Health Club,,0,0,0,0,1,0,City Owned,2
132,Queens Quay E,132 Queens Quay E,M5A 3Y5,Toronto,315422.723,4833622.282,-79.3681353323,43.6444738397,The Guvernment,,1,0,0,0,0,0,Owned by others,1075
30,Sewell's Rd,30 Sewell's Rd,M1B 3G5,Toronto,327602.663,4851883.789,-79.2163894265,43.8085763278,Malvern Recreation Centre & Library (TPL),,0,0,0,1,1,0,City Owned,1367
680,Queens Quay W,680 Queens Quay W,M5V 2Y9,Toronto,312844.461,4832590.709,-79.4001091871,43.6352216972,Arcadia Art Gallery and Co-op,,0,1,0,0,1,0,Owned by others,639
320,College St,320 College St,M5T 1S3,Toronto,312647.398,4835090.608,-79.402514503,43.6577255308,The Free Times Cafe,,1,1,0,0,1,1,Owned by others,557
200,Eglinton Ave W,200 Eglinton Ave W,M4R 1A7,Toronto,312470.973,4840466.317,-79.4046262551,43.7061144258,North Toronto Memorial Community Centre,,0,0,0,0,1,0,City Owned,292
2464,Yonge St,2464 Yonge St,M4P 2H5,Toronto,312870.76,4841030.78,-79.3996573182,43.7111908542,The Uptown Loft,,1,1,1,0,1,0,Owned by others,306
330,Geary Ave,330 Geary Ave,M6H 2C7,Toronto,309349.241,4836348.56,-79.4433944853,43.6690757583,Rehearsal Factory,Studio A,1,0,0,0,0,0,Owned by others,315
344,Westmoreland Ave N,344 Westmoreland Ave N,M6H 3A7,Toronto,310054.908,4836528.783,-79.434638868,43.670684847,RE:Style Studio,,1,1,0,0,0,0,Owned by others,324
1431,Bathurst St,1431 Bathurst St,M5R 3J2,Toronto,311429.614,4837796.063,-79.4175796591,43.6820897065,Wychwood Branch + Library Theatre (TPL),,0,0,0,1,1,0,City Operated,709
978,Queen St W,978 Queen St W,M6J 1H1,Toronto,311405.087,4833623.726,-79.4179353976,43.6445340385,Show Gallery,,0,1,0,0,0,0,Owned by others,472
841,Queen St W,841 Queen St W,M6J 1G4,Toronto,312037.647,4833764.797,-79.4100929056,43.6457982101,2Q Video,,0,0,1,0,0,0,Owned by others,461
203,Humber College Blvd,203 Humber College Blvd,M9W 6V3,Toronto,296205.916,4842706.646,-79.606476012,43.72626162,Humber Arboretum Gardens,,0,0,0,0,1,0,City Owned,5
1241,Bloor St W,1241 Bloor St W,M6H 1N6,Toronto,309533.725,4835177.115,-79.4411175817,43.6585300337,Holy Oak Cafe,,1,0,0,0,0,0,Owned by others,333
2959,Dundas St W,2959 Dundas St W,M6P 1Z2,Toronto,307374.75,4835920.198,-79.467880511,43.6652289757,Mjolk / Urbanscape Gallery,,0,1,0,0,0,0,Owned by others,180
2968,Dundas St W,2968 Dundas St W,M6P 1Y8,Toronto,307339.59,4835969.232,-79.4683162208,43.6656704727,Academy of Realist Art,,0,1,0,0,0,0,Owned by others,181
2988,Dundas St W,2988 Dundas St W,M6P 1Z3,Toronto,307274.654,4835971.127,-79.4691213775,43.6656877532,Narwhal Art Projects,,0,1,0,0,0,0,Owned by others,182
3010,Dundas St W,3010 Dundas St W,M6P 1Z3,Toronto,307221.124,4835980.435,-79.4697850808,43.6657717148,Bending Spoons Gallery at Vesuvio,,0,1,0,0,0,0,Owned by others,183
3030,Dundas St W,3030 Dundas St W,M6P 1Z3,Toronto,307163.11,4835987.017,-79.4705044018,43.6658311492,3030 Dundas St. West,,1,1,1,0,1,0,Owned by others,185
3079,Dundas St W,3079 Dundas St W,M6P 1Z9,Toronto,307022.623,4835935.566,-79.4722466071,43.665368448,Crema Coffee Company,,1,0,0,0,1,0,Owned by others,187
3148,Dundas St W,3148 Dundas St W,M6P 2A1,Toronto,306812.601,4835976.772,-79.4748506121,43.6657399372,Telephone Booth Gallery,,0,1,0,0,0,0,Owned by others,189
341,Oakwood Ave,341 Oakwood Ave,M6E 2W1,Toronto,309770.301,4838293.903,-79.4381553633,43.6865837941,Oakwood Village Library & Arts Centre Branch (TPL),,1,1,0,1,1,0,City Operated,279
40,Playfair Ave,40 Playfair Ave,M6B 2P9,Toronto,308318.732,4840951.185,-79.4561438583,43.7105107626,"Sala Caboto, Villa Columbo",,0,0,0,0,1,0,Owned by others,281
529,Vaughan Rd,529 Vaughan Rd,M6C 2R1,Toronto,309886.802,4838787.996,-79.436706077,43.691030286,Vaughan Road Academy,,1,0,0,0,1,0,Owned by others,283
169,Viewmount Ave,169 Viewmount Ave,M6B 1T5,Toronto,309842.042,4840617.86,-79.4372447314,43.7075017299,Viewmount CC,,0,0,0,0,1,0,City Owned,284
641,Briar Hill Ave,641 Briar Hill Ave,M5N 1N4,Toronto,310836.434,4840693.756,-79.4249053881,43.7081769562,Oliver Gordon Gallery,,0,1,0,0,0,0,Owned by others,286
24,Cheritan Ave,24 Cheritan Ave,M4R 1S4,Toronto,312606.25,4842367.151,-79.4029204651,43.7232230574,Blessed Sacrament Catholic Church,,1,0,0,0,1,0,Owned by others,289
585,Cranbrooke Ave,585 Cranbrooke Ave,M6A 2X9,Toronto,310454.941,4842387.713,-79.4296214769,43.7234279131,Morris Winchevsky Centre,,1,1,0,0,0,0,Owned by others,290
471,Lawrence Ave W,471 Lawrence Ave W,M5M 1C6,Toronto,310635.847,4841960.422,-79.4273806758,43.7195803651,Workmen's Circle,,1,0,0,0,1,0,Owned by others,296
35,Lytton Blvd,35 Lytton Blvd,M4R 1L2,Toronto,312603.985,4841501.312,-79.4029610218,43.7154291431,Eglinton - St. George's United Church,,1,0,0,0,1,0,Owned by others,297
33,Melrose Ave,33 Melrose Ave,M5M 1Y6,Toronto,312414.422,4843396.394,-79.4052867694,43.732489705,Dewi Sant Welsh United Church,,1,0,0,0,1,0,Owned by others,298
375,Melrose Ave,375 Melrose Ave,M5M 1Z6,Toronto,311256.467,4843055.097,-79.4196652588,43.7294286637,Melrose Baptist Church,,1,0,0,0,1,0,Owned by others,299
40,Orchard View Blvd,40 Orchard View Blvd,M4R 1B9,Toronto,312838.109,4840707.192,-79.4000672949,43.7082784933,"Northern District, Eglinton Branch (TPL) (Delisle Youth Gallery, Canadian Children's Book Centre)",,1,0,0,1,0,0,City operated,301
2300,Yonge St,2300 Yonge St,M4P 1E4,Toronto,312917.28,4840583.711,-79.399083527,43.707157574,Indigo Books - Yonge & Eglinton,,1,0,0,0,0,0,Owned by others,304
4190,Yonge St,4190 Yonge St,M2P 1N9,Toronto,312153.766,4845038.666,-79.4085000524,43.7472754696,Evangel Temple Church,,1,0,0,0,1,0,Owned by others,309
34,Caledonia Rd,34 Caledonia Rd,M6E 4S4,Toronto,308376.87,4837131.952,-79.4554465302,43.6761324219,Casa Das Beira Cultural Community Centre of Toronto,,1,0,0,0,1,0,Owned by others,310
60,Caledonia Rd,60 Caledonia Rd,M6E 4S4,Toronto,308323.118,4837186.2,-79.4561128451,43.6766209273,First Portuguese Canadian Club,,1,0,0,0,1,0,Owned by others,311
1695,Dufferin St,1695 Dufferin St,M6E 3N9,Toronto,309383.196,4837414.9,-79.4429639034,43.6786740022,St. Chads Anglican Church (Theatre),,1,0,0,0,0,0,Owned by others,314
940,Lansdowne Ave,940 Lansdowne Ave,M6H 3Z4,Toronto,308983.493,4836359.681,-79.4479299354,43.6691780068,Lansdowne Studio,#9,1,1,1,0,0,0,Owned by others,316
793,Pharmacy Ave,793 Pharmacy Ave,M1L 3K2,Toronto,321346.731,4842120.713,-79.2944449216,43.7208622462,Commercial Studios Limited,,0,0,1,0,0,0,Owned by others,1282
1164,Queen St E,1164 Queen St E,M4M 1L4,Toronto,318286.862,4835679.42,-79.3325819545,43.6629445008,Pentimento Fine Art Gallery,,0,1,0,0,0,0,Owned by others,1179
245,Main St,245 Main St,M4C 5T3,Toronto,320893.477,4838396.965,-79.3001810647,43.6873540428,Main Square Community Centre,,0,0,0,0,1,0,City Owned,1228
2975,Don Mills Rd W,2975 Don Mills Rd W,M2J 3B7,Toronto,316755.225,4848881.921,-79.3512809597,43.7818095081,Oriole Community Centre,,0,0,0,0,1,0,City Owned,1248
30,Booth Ave,30 Booth Ave,M4M 2M2,Toronto,317490.352,4834727.552,-79.3424805252,43.6543906396,Cinespace,Suite 100,0,0,1,0,0,0,Owned by others,1135
415,Gerrard St E,415 Gerrard St E,M5A 2H4,Toronto,315905.255,4835581.353,-79.3621141967,43.6621010572,Regent Park North Recreation Centre,,1,0,0,0,1,0,City Owned,1024
118,Sherbourne St,118 Sherbourne St,M5A 2R2,Toronto,315305.846,4834650.174,-79.3695640358,43.6537279607,Harris Institute for the Arts,,1,0,1,0,1,0,Owned by others,1084
110,Yorkville Ave,110 Yorkville Ave,M5R 1B9,Toronto,313427.585,4836562.33,-79.3928183869,43.6709641161,Hollander York Gallery,,0,1,0,0,0,0,Owned by others,974
171,Front St E,171 Front St E,M5A 4H3,Toronto,315394.78,4834233.377,-79.3684698144,43.6499749234,St. Lawrence Branch (TPL),,0,0,0,1,0,0,City Operated,1016
80,Gerrard St E,80 Gerrard St E,M5B 1G6,Toronto,314624.951,4835362.68,-79.3779924145,43.6601505473,Gallery Arcturus,,0,1,0,0,0,0,Owned by others,917
1700,Finch Ave E,1700 Finch Ave E,M2J 4X8,Toronto,316751.736,4850224.274,-79.3512947697,43.7938925194,Seneca Village Community Centre,,0,0,0,0,1,0,City Owned,807
76,Overlea Blvd,76 Overlea Blvd,M4H 1C5,Toronto,317589.12,4840744.633,-79.3411135538,43.7085498007,Macedonian Cultural Centre,,1,0,0,0,1,0,Owned by others,845
778,St Clair Ave W,778 St Clair Ave W,M6C 1B6,Toronto,310485.491,4837698.455,-79.4292901424,43.6812187059,Zemra,,1,1,0,0,0,0,Owned by others,734
479,Queens Quay W,479 Queens Quay W,,Toronto,313377.407,4832813.9,-79.3935006944,43.6372246979,Toronto Music Garden,,1,0,0,0,1,0,City Operated,637
73,Harbord St,73 Harbord St,M5S 1G4,Toronto,312626.317,4835651.153,-79.4027673798,43.6627712941,Toronto Women's Bookstore,,0,1,0,0,0,0,Owned by others,576
980,Queen St W,980 Queen St W,M6J 1H1,Toronto,311398.868,4833634.323,-79.4180123589,43.6446294764,Paul Petro Contemporary Art,,0,1,0,0,0,0,Owned by others,473
25,Bellevue Ave,25 Bellevue Ave,M5T 2N5,Toronto,312618.128,4834651.745,-79.4028840192,43.6537755303,The Kiever Shul,,0,1,0,0,1,0,Owned by others,521
279,Dovercourt Rd,279 Dovercourt Rd,M6J 3C9,Toronto,310900.057,4834127.659,-79.4241898677,43.6490741148,Graciosa Community Centre,,0,0,0,0,1,0,Owned by others,405
200,Park Lawn Rd,200 Park Lawn Rd,M8Y 3J1,Toronto,305490.191,4832042.061,-79.4912526733,43.6303240163,Humber Bay Branch (TPL),,0,0,0,1,0,0,City Operated,59
25,The West Mall,25 The West Mall,M9C 1B8,Toronto,300166.416,4830002.932,-79.5572102957,43.611955672,Sherway Gardens (Gallery in the Garden),,0,1,0,0,0,0,Owned by others,64
110,Eleventh St,110 Eleventh St,M8V 3G5,Toronto,303998.553,4828589.319,-79.5097333483,43.5992448952,New Toronto Branch (TPL),,1,0,0,1,0,0,City Owned,70
300,King St W,300 King St W,M5V 1J2,Toronto,313713.038,4833906.412,-79.3893227131,43.6470541772,Princess of Wales Theatre,,1,0,0,0,0,0,Owned by others,596
16,Baby Point Rd,16 Baby Point Rd,M6S 2E9,Toronto,305590.214,4835169.919,-79.4900089316,43.658479106,Humbercrest United Church,,1,0,0,0,1,0,Owned by others,169
5183,Sheppard Ave E,5183 Sheppard Ave E,M1B 5Z5,Toronto,326231.708,4850335.863,-79.2334906756,43.7946842484,"Chinese Cultural Centre of Greater Toronto (P.C. Ho Theatre, Hin-Shiu Hung Art Gallery)",,1,1,0,0,0,0,Owned by others,1370
70,Silver Birch Ave,70 Silver Birch Ave,M4E 3K9,Toronto,322104.059,4836730.5,-79.28521814,43.6723269883,St. Aidan's Church,,1,0,0,0,1,1,Owned by others,1241
1,King St W,1 King St W,M5H 1A1,Toronto,314618.378,4834104.695,-79.3780963941,43.6488273039,"One King West (Grand Banking Hall, The Vault, Dominion Club)",,1,0,0,0,0,1,Owned by others,1036
454,Parliament St,454 Parliament St,M5A 3A2,Toronto,315431.429,4835747.533,-79.3679858874,43.6636036265,House on Parliament,,1,0,0,0,0,0,Owned by others,1063
178,Victoria St,178 Victoria St,M5B 1T7,Toronto,314562.976,4834659.898,-79.378770185,43.653816876,Massey Hall,,1,0,0,0,0,0,Owned by others,953
487,Church St,487 Church St,M4Y 2C6,Toronto,314426.567,4835908.939,-79.380442327,43.665070249,Statlers Lounge,,1,0,0,0,0,0,Owned by others,892
185,Sheppard Ave W,185 Sheppard Ave W,M2N 1M9,Toronto,311213.807,4846363.752,-79.4201557707,43.7592116612,Office of the Consulate General of the Republic of Trinidad and Tobago,,1,1,0,0,0,0,Owned by others,790
730,St Clair Ave W,730 St Clair Ave W,M6C 1B3,Toronto,310649.791,4837745.418,-79.4272519477,43.6816402208,Dave's on St. Clair,,1,0,0,0,0,0,Owned by others,733
388,Richmond St W,388 Richmond St W,M5V 3P1,Toronto,313256.423,4834037.784,-79.3949808238,43.6482422185,Jacob Gallery,,0,1,0,0,0,0,Owned by others,646
